screen_name,degree,betweenness,eigenvector,opinions,community_id
AnnaBritannia,7,2.93403581357114e-07,1.0254374028002163e-18,AGAINST,0
antiwokeuk,46,6.485763377367783e-08,5.489408083707091e-05,NOT_AGAINST,0
porknpicklepie,18,7.381884363490388e-08,1.0254374028002163e-18,NOT_AGAINST,0
trwill10_tom,7,0.0,4.2726558450008996e-20,NOT_AGAINST,0
DnellStephen,21,1.2592488635279006e-06,7.37406731051069e-09,AGAINST,0
BeccaHutson,1,0.0,3.6868544475930505e-09,NONE,0
GBNEWS,875,0.0,0.00040672553118658943,NOT_AGAINST,5
BikerGary17,5,0.0,4.2726558450008996e-20,NOT_AGAINST,0
elibo_17,9,0.0,4.2726558450008996e-20,AGAINST,0
Dredekia,2,0.0,4.2726558450008996e-20,NOT_AGAINST,2
aAw6WFLEArS9hVL,5,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Baconsarni1,11,0.0,4.2726558450008996e-20,AGAINST,0
kevin0u,5,0.0,4.2726558450008996e-20,NOT_AGAINST,0
SusanHu25307477,17,0.0,4.2726558450008996e-20,AGAINST,0
pramod_abhms,1,0.0,4.2726558450008996e-20,AGAINST,9
lizshep73,4,0.0,4.2726558450008996e-20,AGAINST,0
anandsharma333,1,0.0,4.2726558450008996e-20,AGAINST,9
froghound01,1,0.0,4.2726558450008996e-20,AGAINST,9
AlfieTurner2,11,0.0,4.2726558450008996e-20,NOT_AGAINST,1
brianpaddick,15,2.8161128430735438e-06,3.763371333462772e-12,NOT_AGAINST,7
EnglishBob7777,1,0.0,4.2726558450008996e-20,AGAINST,9
plddly,5,0.0,4.2726558450008996e-20,NOT_AGAINST,1
thebarkingtweet,4,5.781501192451584e-08,1.0254374028002163e-18,NOT_AGAINST,1
lifeisgoodtake2,1,0.0,4.2726558450008996e-20,AGAINST,3
mrhazzers,1,0.0,4.2726558450008996e-20,AGAINST,7
James_Thorburn,872,0.0004947530160992821,0.0004174615102463843,NOT_AGAINST,0
andrewamg,6,0.0,4.2726558450008996e-20,NOT_AGAINST,0
marsman1258,6,0.0,4.2726558450008996e-20,NOT_AGAINST,0
d5_rss,10,0.0,4.2726558450008996e-20,AGAINST,0
AtlasB2B,12,0.0,4.2726558450008996e-20,NOT_AGAINST,0
a_shipl12,16,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Peter_Clark8,23,0.0,4.2726558450008996e-20,NOT_AGAINST,0
heliman_david,13,0.0,4.2726558450008996e-20,AGAINST,0
thepoohs15,2,0.0,4.2726558450008996e-20,NOT_AGAINST,2
