tweeter_screen_name,AGAINST,FOR,NOT_AGAINST,tweeter_label
SpanishDan1,0.0,0.0,1.0,NOT_AGAINST
312shelly3,1.0,0.0,0.0,AGAINST
PDarrantis,0.0,0.0,1.0,NOT_AGAINST
CrawfordAndo,0.0,0.0,1.0,NOT_AGAINST
merchantcp,1.0,0.0,1.0,NOT_AGAINST
baseballscot,0.0,0.0,1.0,NOT_AGAINST
Brenda_Resister,0.0,0.0,1.0,NOT_AGAINST
Clare19802,0.0,0.0,2.0,NOT_AGAINST
Andrew30550281,1.0,0.0,0.0,AGAINST
alasdayer,0.0,0.0,1.0,NOT_AGAINST
StayTru09084431,,,,NONE
bad_rzn,0.0,0.0,1.0,NOT_AGAINST
cctvinthecity,0.0,0.0,1.0,NOT_AGAINST
Kriso444,0.0,0.0,1.0,NOT_AGAINST
zii_london,0.0,0.0,1.0,NOT_AGAINST
Simply_DElite,0.0,0.0,1.0,NOT_AGAINST
jockstrap_jack,0.0,0.0,1.0,NOT_AGAINST
coops456,1.0,0.0,0.0,AGAINST
Tip_of_spear,0.0,0.0,1.0,NOT_AGAINST
S1R1USme,0.0,0.0,1.0,NOT_AGAINST
douglas_dalziel,0.0,0.0,1.0,NOT_AGAINST
VeteranIrish,0.0,0.0,1.0,NOT_AGAINST
Vesuvius1777,1.0,0.0,0.0,AGAINST
chrysso_g,1.0,0.0,1.0,NOT_AGAINST
b0bbybux,1.0,0.0,0.0,AGAINST
heyyyydannnn,1.0,0.0,0.0,AGAINST
Covid19Joker,0.0,0.0,2.0,NOT_AGAINST
sardarmayana,0.0,0.0,1.0,NOT_AGAINST
makhno8,1.0,0.0,0.0,AGAINST
TADennis20,0.0,0.0,1.0,NOT_AGAINST
thellen72,0.0,0.0,1.0,NOT_AGAINST
grahamgords1002,0.0,0.0,1.0,NOT_AGAINST
jilitaza,1.0,0.0,0.0,AGAINST
ddilannn__,1.0,0.0,0.0,AGAINST
barrott89,0.0,0.0,1.0,NOT_AGAINST
vix000,1.0,0.0,0.0,AGAINST
_Pilgrim___,1.0,0.0,0.0,AGAINST
bayes_euler,1.0,0.0,0.0,AGAINST
ResponseOC,0.0,0.0,1.0,NOT_AGAINST
Felixthecat8,1.0,0.0,0.0,AGAINST
Poughkeepsie85,0.0,0.0,1.0,NOT_AGAINST
Johnm6,0.0,0.0,1.0,NOT_AGAINST
skjones505,0.0,0.0,1.0,NOT_AGAINST
thegarymoore,1.0,0.0,0.0,AGAINST
garryd50,1.0,0.0,0.0,AGAINST
DameBucket,0.0,0.0,1.0,NOT_AGAINST
rsstokey,0.0,0.0,1.0,NOT_AGAINST
SBN_BCRP,1.0,0.0,0.0,AGAINST
kh4y4_m0rr,1.0,0.0,0.0,AGAINST
MBDscience,0.0,0.0,1.0,NOT_AGAINST
Millwallchris1,0.0,0.0,1.0,NOT_AGAINST
TheBomb0,1.0,0.0,0.0,AGAINST
ColinDavies42,1.0,0.0,0.0,AGAINST
KelssMarques,0.0,0.0,1.0,NOT_AGAINST
Noodles2312,1.0,0.0,0.0,AGAINST
melluca67207524,1.0,0.0,0.0,AGAINST
rogerpickerin13,2.0,0.0,0.0,AGAINST
scutcha78,1.0,0.0,0.0,AGAINST
potentatepugil1,,,,NONE
MrAlignIT,1.0,0.0,0.0,AGAINST
barragirl49,1.0,0.0,0.0,AGAINST
RobertRedden4,1.0,0.0,0.0,AGAINST
GraceRo95193774,2.0,0.0,1.0,AGAINST
bruce120263,1.0,0.0,0.0,AGAINST
mercianrevival,0.0,0.0,1.0,NOT_AGAINST
Michael16429056,1.0,0.0,0.0,AGAINST
JFr4ser,0.0,0.0,1.0,NOT_AGAINST
TellMamaUK,2.0,0.0,1.0,AGAINST
m30ichael,1.0,0.0,3.0,NOT_AGAINST
catchathiefuk,1.0,0.0,0.0,AGAINST
WaterGypsy4,1.0,0.0,0.0,AGAINST
Bebababe01,1.0,0.0,0.0,AGAINST
