lsoa_code,lsoa_name,total_19,population,borough,total_17,total_19_1000,total_17_1000,pct_change,pct_change_abs,crime_cohort,change_cohort
E01003834,Richmond upon Thames 022A,15,2239,Richmond upon Thames,17.0,6.699419383653416,7.592675301473872,-0.11764705882352947,0.11764705882352947,lower_crime,lower_change
E01003835,Richmond upon Thames 022B,4,1659,Richmond upon Thames,7.0,2.4110910186859553,4.219409282700422,-0.4285714285714286,0.4285714285714286,lower_crime,lower_change
E01003836,Richmond upon Thames 022C,10,1440,Richmond upon Thames,6.0,6.944444444444445,4.166666666666667,0.6666666666666666,0.6666666666666666,lower_crime,top_250
E01003837,Richmond upon Thames 022D,11,2008,Richmond upon Thames,13.0,5.47808764940239,6.47410358565737,-0.15384615384615385,0.15384615384615385,lower_crime,lower_change
E01003838,Richmond upon Thames 022E,6,1857,Richmond upon Thames,7.0,3.231017770597738,3.769520732364028,-0.14285714285714293,0.14285714285714293,lower_crime,lower_change
E01003839,Richmond upon Thames 022F,8,2228,Richmond upon Thames,14.0,3.5906642728904847,6.283662477558348,-0.42857142857142855,0.42857142857142855,lower_crime,lower_change
E01003840,Richmond upon Thames 013A,3,1678,Richmond upon Thames,10.0,1.7878426698450536,5.959475566150179,-0.7,0.7,lower_crime,lower_change
E01003841,Richmond upon Thames 013B,28,2146,Richmond upon Thames,35.0,13.047530288909599,16.309412861136998,-0.2,0.2,lower_crime,lower_change
E01003842,Richmond upon Thames 013C,12,1673,Richmond upon Thames,7.0,7.172743574417215,4.184100418410042,0.7142857142857144,0.7142857142857144,lower_crime,top_250
E01003843,Richmond upon Thames 013D,13,2157,Richmond upon Thames,13.0,6.02688919796013,6.02688919796013,0.0,0.0,lower_crime,lower_change
E01003844,Richmond upon Thames 013E,12,1463,Richmond upon Thames,4.0,8.202323991797677,2.734107997265892,2.0000000000000004,2.0000000000000004,lower_crime,top_50
E01003845,Richmond upon Thames 013F,3,1674,Richmond upon Thames,8.0,1.7921146953405018,4.778972520908005,-0.625,0.625,lower_crime,lower_change
E01003846,Richmond upon Thames 002A,3,1705,Richmond upon Thames,4.0,1.7595307917888563,2.346041055718475,-0.25000000000000006,0.25000000000000006,lower_crime,lower_change
E01003847,Richmond upon Thames 002B,17,1642,Richmond upon Thames,7.0,10.353227771010962,4.263093788063338,1.4285714285714284,1.4285714285714284,lower_crime,top_50
E01003848,Richmond upon Thames 004A,12,1832,Richmond upon Thames,15.0,6.550218340611353,8.187772925764191,-0.19999999999999996,0.19999999999999996,lower_crime,lower_change
E01003849,Richmond upon Thames 002C,2,1537,Richmond upon Thames,2.0,1.3012361743656473,1.3012361743656473,0.0,0.0,lower_crime,lower_change
E01003851,Richmond upon Thames 002D,7,1682,Richmond upon Thames,7.0,4.161712247324614,4.161712247324614,0.0,0.0,lower_crime,lower_change
E01003852,Richmond upon Thames 003A,6,1401,Richmond upon Thames,16.0,4.282655246252677,11.420413990007138,-0.625,0.625,lower_crime,lower_change
E01003853,Richmond upon Thames 003B,8,1517,Richmond upon Thames,9.0,5.273566249176005,5.932762030323006,-0.11111111111111115,0.11111111111111115,lower_crime,lower_change
E01003854,Richmond upon Thames 003C,10,1482,Richmond upon Thames,6.0,6.747638326585695,4.048582995951417,0.6666666666666666,0.6666666666666666,lower_crime,top_250
E01003855,Richmond upon Thames 003D,19,1941,Richmond upon Thames,16.0,9.788768675940236,8.24317362184441,0.18750000000000003,0.18750000000000003,lower_crime,lower_change
E01003856,Richmond upon Thames 003E,7,1617,Richmond upon Thames,8.0,4.329004329004329,4.94743351886209,-0.12500000000000003,0.12500000000000003,lower_crime,lower_change
E01003857,Richmond upon Thames 003F,4,2009,Richmond upon Thames,16.0,1.991040318566451,7.964161274265804,-0.7499999999999999,0.7499999999999999,lower_crime,lower_change
E01003858,Richmond upon Thames 003G,7,1638,Richmond upon Thames,3.0,4.273504273504273,1.8315018315018314,1.3333333333333335,1.3333333333333335,lower_crime,top_50
E01003859,Richmond upon Thames 005E,3,1659,Richmond upon Thames,4.0,1.8083182640144666,2.4110910186859553,-0.24999999999999994,0.24999999999999994,lower_crime,lower_change
E01003860,Richmond upon Thames 002E,32,1857,Richmond upon Thames,18.0,17.232094776521272,9.693053311793214,0.777777777777778,0.777777777777778,lower_crime,top_250
E01003861,Richmond upon Thames 004C,7,2072,Richmond upon Thames,7.0,3.3783783783783785,3.3783783783783785,0.0,0.0,lower_crime,lower_change
E01003862,Richmond upon Thames 004D,18,1771,Richmond upon Thames,18.0,10.163749294184077,10.163749294184077,0.0,0.0,lower_crime,lower_change
E01003863,Richmond upon Thames 004E,6,1439,Richmond upon Thames,8.0,4.169562195969423,5.559416261292564,-0.25000000000000006,0.25000000000000006,lower_crime,lower_change
E01003864,Richmond upon Thames 002F,19,1647,Richmond upon Thames,13.0,11.53612629022465,7.893139040680024,0.4615384615384615,0.4615384615384615,lower_crime,lower_change
E01003865,Richmond upon Thames 004F,8,1495,Richmond upon Thames,8.0,5.351170568561873,5.351170568561873,0.0,0.0,lower_crime,lower_change
E01003866,Richmond upon Thames 007A,6,1708,Richmond upon Thames,3.0,3.51288056206089,1.756440281030445,1.0,1.0,lower_crime,top_50
E01003867,Richmond upon Thames 011A,15,1547,Richmond upon Thames,19.0,9.696186166774401,12.281835811247577,-0.21052631578947378,0.21052631578947378,lower_crime,lower_change
E01003868,Richmond upon Thames 007B,9,1526,Richmond upon Thames,10.0,5.897771952817824,6.553079947575361,-0.10000000000000006,0.10000000000000006,lower_crime,lower_change
E01003869,Richmond upon Thames 011B,16,1682,Richmond upon Thames,6.0,9.512485136741974,3.56718192627824,1.666666666666667,1.666666666666667,lower_crime,top_50
E01003870,Richmond upon Thames 011C,17,2109,Richmond upon Thames,11.0,8.060692271218587,5.215742057847321,0.5454545454545453,0.5454545454545453,lower_crime,top_250
E01003871,Richmond upon Thames 007C,16,1840,Richmond upon Thames,7.0,8.695652173913043,3.8043478260869565,1.2857142857142854,1.2857142857142854,lower_crime,top_50
E01003872,Richmond upon Thames 007D,6,1599,Richmond upon Thames,6.0,3.75234521575985,3.75234521575985,0.0,0.0,lower_crime,lower_change
E01003873,Richmond upon Thames 006A,19,1744,Richmond upon Thames,21.0,10.894495412844037,12.041284403669724,-0.09523809523809516,0.09523809523809516,lower_crime,lower_change
E01003874,Richmond upon Thames 006B,5,1702,Richmond upon Thames,5.0,2.937720329024677,2.937720329024677,0.0,0.0,lower_crime,lower_change
E01003875,Richmond upon Thames 006C,11,1713,Richmond upon Thames,14.0,6.42148277875073,8.172796263864566,-0.21428571428571433,0.21428571428571433,lower_crime,lower_change
E01003876,Richmond upon Thames 008B,123,1918,Richmond upon Thames,98.0,64.12930135557873,51.09489051094891,0.25510204081632654,0.25510204081632654,top_250,lower_change
